,Kandidátní listina,Absolutní hlasy,Hlasy v %,Počet kandidátů,Přepočtený základ dle počtu kandidátů,Přepočtené % plat. hlasů,Počet mandátů,Podíly hlasů,Vol. účast v %,Rok
0,Pravý Blok,958,0.19,11,149 073.15,0.64,0,,34.12,2002
1,Strana za životní jistoty,906,0.18,7,94 864.73,0.95,0,,34.12,2002
2,Česká pravice,17 360,3.37,38,514 980.00,3.37,0,,34.12,2002
3,"Dem.K.V.-S.ODA, N.P.a Zak.č.US",24 320,4.72,38,514 980.00,4.72,0,,34.12,2002
4,Komunistická str.Čech a Moravy,71 746,13.93,38,514 980.00,13.93,6,X,34.12,2002
5,Strana zelených,28 235,5.48,38,514 980.00,5.48,2,X,34.12,2002
6,Občanská demokratická strana,121 926,23.68,38,514 980.00,23.67,10,X,34.12,2002
7,NEZÁVISLÍ,6 808,1.32,37,501 427.89,1.35,0,,34.12,2002
8,Sdružení nezávislých,45 982,8.93,38,514 980.00,8.92,4,X,34.12,2002
9,"Sdružení ČSNS, NK",3 724,0.72,30,406 563.15,0.91,0,,34.12,2002
10,Strana demokrat.socialismu,7 187,1.40,36,487 875.78,1.47,0,,34.12,2002
11,Česká str.sociálně demokrat.,85 336,16.57,38,514 980.00,16.57,7,X,34.12,2002
12,Karlovarská koalice,100 492,19.51,37,501 427.89,20.04,9,X,34.12,2002
13,Česká str.sociálně demokrat.,109 387,"20,80",38,"525 894,00","20,80",9,X,"35,72",2006
14,Strana zelených,28 925,"5,50",38,"525 894,00","5,50",2,X,"35,72",2006
15,"Karlovarské fórum -US-DEU, NK",12 100,"2,30",37,"512 054,68","2,36",0,,"35,72",2006
16,Karlovar.občanská alternativa,43 502,"8,27",38,"525 894,00","8,27",3,X,"35,72",2006
17,Občanská demokratická strana,178 729,"33,99",38,"525 894,00","33,98",15,X,"35,72",2006
18,Balbínova poetická strana,4 677,"0,89",30,"415 179,47","1,12",0,,"35,72",2006
19,STRANA ROVNOST ŠANCÍ,6 421,"1,22",26,"359 822,21","1,78",0,,"35,72",2006
20,"Karlovarská koal.-KDU-ČSL, VPM",35 015,"6,66",38,"525 894,00","6,65",2,X,"35,72",2006
21,Komunistická str.Čech a Moravy,59 820,"11,37",38,"525 894,00","11,37",5,X,"35,72",2006
22,NEZ.DEMOKRATÉ(předs.V.Železný),12 455,"2,37",38,"525 894,00","2,36",0,,"35,72",2006
23,SNK Evropští demokraté,34 863,"6,63",38,"525 894,00","6,62",2,X,"35,72",2006
24,Doktoři (za uzdravení společ.),16 972,"3,00",38,"565 134,00","3,00",0,,"40,84",2010
25,Komunistická str.Čech a Moravy,55 883,"9,89",38,"565 134,00","9,88",4,X,"40,84",2010
26,Strana svobodných občanů,1 000,"0,18",5,"74 359,73","1,34",0,,"40,84",2010
27,Victoria.cz,13 663,"2,42",38,"565 134,00","2,41",0,,"40,84",2010
28,Občanská demokratická strana,80 017,"14,16",38,"565 134,00","14,15",7,X,"40,84",2010
29,Volte Pr.Blok www.cibulka.net,487,"0,09",2,"29 743,89","1,63",0,,"40,84",2010
30,Křesť.demokr.unie-Čs.str.lid.,7 746,"1,37",38,"565 134,00","1,37",0,,"40,84",2010
31,Česká str.sociálně demokrat.,85 513,"15,13",38,"565 134,00","15,13",7,X,"40,84",2010
32,Dělnic.str.sociální spravedl.,875,"0,15",5,"74 359,73","1,17",0,,"40,84",2010
33,TOP 09,52 907,"9,36",38,"565 134,00","9,36",4,X,"40,84",2010
34,"Sdružení ALTERNATIVA, NK",62 069,"10,98",38,"565 134,00","10,98",5,X,"40,84",2010
35,Suverenita-blok J.Bobošíkové,10 889,"1,93",38,"565 134,00","1,92",0,,"40,84",2010
36,Karlovar.občanská alternativa,98 024,"17,35",38,"565 134,00","17,34",8,X,"40,84",2010
37,Nestraníci,15 634,"2,77",38,"565 134,00","2,76",0,,"40,84",2010
38,Hnutí O co jim jde?!,41 078,"7,27",38,"565 134,00","7,26",3,X,"40,84",2010
39,Strana zelených,8 867,"1,57",38,"565 134,00","1,56",0,,"40,84",2010
40,Věci veřejné,13 510,"2,39",34,"505 646,21","2,67",0,,"40,84",2010
41,PRO Svobodné Vary,11 937,"2,92",35,"409 431,00","2,91",0,,"33,20",2014
42,STAROSTOVÉ A NEZÁVISLÍ,13 620,"3,33",35,"409 431,00","3,32",0,,"33,20",2014
43,ANO 2011,63 004,"15,39",35,"409 431,00","15,38",6,X,"33,20",2014
44,Občanská demokratická strana,26 476,"6,47",35,"409 431,00","6,46",2,X,"33,20",2014
45,"OCJJ, KDU-ČSL, Piráti, SZ",30 366,"7,42",35,"409 431,00","7,41",3,X,"33,20",2014
46,TOP 09,18 981,"4,64",35,"409 431,00","4,63",0,,"33,20",2014
47,Karlovar.občanská alternativa,87 261,"21,31",35,"409 431,00","21,31",9,X,"33,20",2014
48,Česká str.sociálně demokrat.,47 140,"11,51",35,"409 431,00","11,51",5,X,"33,20",2014
49,Komunistická str.Čech a Moravy,36 960,"9,03",35,"409 431,00","9,02",3,X,"33,20",2014
50,ALTERNATIVA,24 185,"5,91",35,"409 431,00","5,90",2,X,"33,20",2014
51,KNS -Za národní Karlovy Vary!,903,"0,22",9,"105 282,25","0,85",0,,"33,20",2014
52,Karlovaráci,48 598,"11,87",35,"409 431,00","11,86",5,X,"33,20",2014
53,Hnutí O co jim jde?!,17 378,"3,81",35,"456 343,00","3,80",0,,"37,61",2018
54,ZMĚNA PRO K.V. ZA PODPORY OKS,6 394,"1,40",34,"443 304,62","1,44",0,,"37,61",2018
55,Komunistická str.Čech a Moravy,23 120,"5,07",35,"456 343,00","5,06",2,X,"37,61",2018
56,KRÁSNÉ KARLOVY VARY,10 723,"2,35",35,"456 343,00","2,34",0,,"37,61",2018
57,Česká str.sociálně demokrat.,13 033,"2,86",35,"456 343,00","2,85",0,,"37,61",2018
58,Svob.a př.dem.-T.Okamura (SPD),22 485,"4,93",35,"456 343,00","4,92",0,,"37,61",2018
59,PRO Zdraví a Sport,9 473,"2,08",35,"456 343,00","2,07",0,,"37,61",2018
60,Česká pirátská strana,45 500,"9,97",35,"456 343,00","9,97",5,X,"37,61",2018
61,Karlovaráci,71 318,"15,63",35,"456 343,00","15,62",8,X,"37,61",2018
62,ZVOLITELNÍ - koalice,10 259,"2,25",35,"456 343,00","2,24",0,,"37,61",2018
63,KOLONÁDA - HNUTÍ PATRIOTŮ,14 217,"3,12",35,"456 343,00","3,11",0,,"37,61",2018
64,Karlovar.občanská alternativa,51 870,"11,37",35,"456 343,00","11,36",5,X,"37,61",2018
65,STAN a TOP 09,16 294,"3,57",35,"456 343,00","3,57",0,,"37,61",2018
66,ODS s podp. Str. s. ČR a MK,35 401,"7,76",35,"456 343,00","7,75",3,X,"37,61",2018
67,ANO 2011,108 878,"23,86",35,"456 343,00","23,85",12,X,"37,61",2018
